contexte,réponse
horaires,Nos horaires d'ouverture sont de 9h à 18h du lundi au vendredi.
produits,"Nous avons une large gamme de produits disponibles, y compris des vêtements, des accessoires, et des produits électroniques."
retour,Vous pouvez retourner un article dans les 30 jours suivant l'achat avec le reçu.
localisation,"Notre magasin est situé au centre-ville, 123 Rue Exemple."
aide,"Bien sûr, je suis là pour vous aider avec votre commande."
vol_paris,Les horaires des vols de Paris sont de 9h à 18h.
vol_bizerte,Les horaires des vols de Bizerte sont de 10h à 15h.
prix_billet_bizerte,Le prix d'un billet pour Bizerte dépend de la date et de la classe choisie.
paiement,"Nous acceptons les paiements par carte de crédit, PayPal et virements bancaires."
promotions,Nous avons actuellement des promotions sur plusieurs produits. Consultez notre site pour plus de détails.
annulation_commande,Vous pouvez annuler votre commande dans les 24 heures suivant l'achat.
delais_livraison,Les délais de livraison sont de 3 à 5 jours ouvrables.
service_client,Vous pouvez contacter notre service client par téléphone ou email.
garantie,Nos produits sont garantis 2 ans.
points_fidelite,"Vous gagnez des points de fidélité à chaque achat, que vous pouvez utiliser pour des réductions."
catalogue,Vous pouvez consulter notre catalogue en ligne sur notre site web.
horaires_service_client,Notre service client est disponible de 8h à 20h tous les jours.
changement_adresse,Vous pouvez changer votre adresse de livraison dans votre compte client.
frais_expédition,Les frais d'expédition varient en fonction du poids et de la destination.
suivi_commande,Vous pouvez suivre votre commande en ligne avec le numéro de suivi.
modes_livraison,"Nous proposons la livraison standard, express et en point relais."
retrait_magasin,Vous pouvez récupérer votre commande en magasin pendant les heures d'ouverture.
horaires_weekend,Nos horaires d'ouverture le week-end sont de 10h à 16h.
facture,Vous pouvez demander une facture lors du paiement.
produits_promotion,"Cette semaine, nous avons des promotions sur les vêtements et les accessoires."
services_apres_vente,Notre service après-vente est disponible pour toutes vos questions et problèmes.
reservation_en_ligne,Vous pouvez réserver un produit en ligne et le retirer en magasin.
creation_compte,"Pour créer un compte, cliquez sur ""Inscription"" en haut de la page."
reinitialisation_mot_de_passe,"Pour réinitialiser votre mot de passe, cliquez sur ""Mot de passe oublié"" et suivez les instructions."
delais_remboursement,Les remboursements sont effectués sous 7 jours après réception du retour.
prix_billet_bizerte_juin,Le prix d'un billet pour Bizerte en juin est de 400dt.
prix_billet_bizerte_juin,Le prix d'un billet pour Bizerte en juin est de 400dt.
prix_billet_bizerte_juin,Le prix d'un billet pour Bizerte en juin est de 400dt.
